REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.987444,0.246556,0.0,0.00794,0.080864
0.983889,0.056667,0.0,0.002892,0.04555
0.975333,0.026667,6.593448,0.026485,0.003851
0.987667,0.001111,46.520388,0.03829,0.009904
0.993778,0.091444,92.457934,0.0837,0.010353
0.989444,0.013889,77.761674,0.078909,0.000881
0.982778,0.014667,13.994995,0.0222,0.015415
0.991333,0.013778,81.769785,0.119269,0.000661
0.986444,0.013667,46.721881,0.076494,0.001289
0.985556,0.105111,3.762185,0.018874,0.043911
0.980333,0.019667,0.0,0.029,0.009
0.980444,0.001,30.890748,0.0603,0.002058
0.993444,0.035444,91.632385,0.086345,0.035343
0.987667,0.023222,43.860487,0.052095,0.002404
0.990222,0.067222,9.796828,0.0693,0.050919
0.983667,0.000667,3.503513,0.077374,0.001619
0.996556,0.217889,50.866358,0.0693,0.047418
0.986111,0.002222,46.721881,0.088929,0.000945
0.981333,0.054889,0.270246,0.018,0.042818
0.973667,0.001111,14.894101,0.0297,0.0367
0.985222,0.001667,43.860487,0.075103,0.000966
0.994111,0.078,89.430788,0.087014,0.007445
0.987778,0.000778,49.559506,0.074,0.001293
0.984778,0.013444,0.0,0.0853,0.00181
0.993333,0.081778,46.520388,0.063539,0.009799
0.981556,0.001111,49.566307,0.040327,0.002413
0.986556,0.018889,32.871031,0.063476,0.008361
0.990111,0.046556,52.564226,0.0687,0.007616
0.981,0.001222,46.520388,0.03848,0.001466
0.997,0.218333,49.566307,0.0899,0.055633
0.991667,0.046667,55.991289,0.0886,0.006656
0.989778,0.015556,61.356259,0.102929,0.001098
0.969,0.008111,4.762685,0.02,0.005649
0.986222,0.002333,49.559506,0.040788,0.001697
0.993,0.185222,17.125717,0.041,0.077693
0.974111,0.001556,0.0,0.0277,0.0086
0.993222,0.120778,43.860487,0.063248,0.029892
0.989778,0.027556,52.564226,0.072728,0.001874
0.989667,0.068889,9.522932,0.057543,0.009995
