REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.95,0.644444,0.0,0.013764,0.461411
0.945,0.177778,0.0,0.010157,0.507978
0.91,0.088889,0.0,0.025227,0.117811
0.94,0.0,129.595229,0.070397,0.12614
0.97,0.333333,279.828047,0.102424,0.126886
0.96,0.044444,217.748407,0.108912,0.03015
0.94,0.066667,71.61196,0.059613,0.279567
0.96,0.044444,265.5047,0.165796,0.005676
0.94,0.066667,116.016992,0.07714,0.038242
0.945,0.377778,0.0,0.018712,0.477389
0.925,0.066667,0.0,0.047874,0.123256
0.925,0.0,115.42984,0.067666,0.097251
0.97,0.111111,246.972196,0.201219,0.316248
0.95,0.088889,116.016992,0.080079,0.060764
0.96,0.222222,45.213287,0.081192,0.441918
0.935,0.0,0.0,0.081163,0.094317
0.98,0.533333,193.763941,0.098334,0.347416
0.945,0.0,122.432732,0.113502,0.036581
0.945,0.177778,0.0,0.018063,0.416861
0.925,0.0,71.61196,0.039467,0.290234
0.94,0.0,116.016992,0.085997,0.041286
0.97,0.288889,289.850177,0.108289,0.090447
0.93,0.0,123.418151,0.074996,0.066451
0.945,0.044444,0.0,0.085323,0.088754
0.97,0.288889,178.367561,0.078652,0.13131
0.93,0.0,121.407787,0.067645,0.075687
0.945,0.088889,115.42984,0.069447,0.127183
0.96,0.155556,130.559963,0.069569,0.135622
0.925,0.0,121.407787,0.067645,0.062193
0.985,0.6,188.965842,0.089873,0.262739
0.96,0.155556,130.559963,0.088552,0.117544
0.955,0.066667,164.268194,0.14936,0.030297
0.9,0.022222,0.0,0.019997,0.385167
0.925,0.0,117.535499,0.068106,0.077012
0.965,0.488889,89.580657,0.046507,0.520674
0.905,0.0,0.0,0.027745,0.122561
0.975,0.377778,116.016992,0.062919,0.229807
0.955,0.088889,158.335988,0.078477,0.073298
0.965,0.222222,41.148431,0.085337,0.137906
0.975,0.444444,132.791836,0.135768,0.183172
0.955,0.133333,117.535499,0.064384,0.674843
0.98,0.533333,124.458802,0.11064,0.180054
0.98,0.622222,123.418151,0.06204,0.278615
0.97,0.311111,186.361419,0.083625,0.192021
0.975,0.333333,149.525545,0.102042,0.148839
0.98,0.622222,279.828047,0.077823,0.232448
0.97,0.177778,204.464129,0.284174,0.51663
0.925,0.0,71.61196,0.050164,0.265138
0.935,0.066667,117.535499,0.067588,0.065764
0.925,0.022222,123.418151,0.069471,0.06809
0.975,0.422222,183.147456,0.16248,0.187728
0.945,0.0,117.797387,0.119916,0.026226
0.97,0.488889,135.396275,0.050634,0.414115
0.945,0.044444,168.347992,0.058702,0.320986
0.97,0.422222,204.464129,0.158511,0.115621
0.935,0.0,147.043804,0.093487,0.035514
0.915,0.088889,0.0,0.076254,0.081264
0.97,0.266667,200.521548,0.129129,0.124698
0.9,0.0,0.0,0.0,0.700857
0.97,0.355556,219.320403,0.095649,0.150473
0.98,0.533333,179.624789,0.121795,0.180729
0.945,0.0,127.784332,0.122308,0.082537
0.96,0.266667,67.148508,0.053944,0.155504
0.97,0.377778,116.016992,0.080602,0.149363
0.95,0.111111,117.535499,0.066893,0.119893
0.97,0.377778,89.580657,0.047238,0.500617
0.97,0.466667,183.147456,0.062316,0.391728
0.97,0.288889,199.348519,0.082924,0.155914
0.975,0.466667,106.291103,0.060394,0.394437
0.97,0.377778,148.481806,0.100012,0.153835
0.95,0.066667,130.559963,0.066954,0.127184
0.97,0.311111,218.575936,0.090521,0.132154
0.98,0.6,183.359554,0.132107,0.21266
0.97,0.488889,116.200518,0.038911,0.472868
0.95,0.066667,116.016992,0.082074,0.048932
0.975,0.377778,122.432732,0.095573,0.244412
0.93,0.022222,116.016992,0.076916,0.025302
0.97,0.244444,172.275975,0.292614,0.535871
0.935,0.044444,89.580657,0.139673,0.067736
0.95,0.066667,123.418151,0.130875,0.033541
0.97,0.288889,183.147456,0.084314,0.203634
0.97,0.288889,207.622448,0.081016,0.244051
