REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.990333,0.037222,22.143798,0.019307,0.018035
0.990222,0.018778,20.79529,0.036685,0.008689
0.99,0.043333,17.125717,0.028972,0.009786
0.990444,0.050556,12.928785,0.01844,0.022542
0.989889,0.028556,14.894101,0.041072,0.013747
0.990444,0.019222,40.011411,0.032289,0.006983
0.990667,0.031222,22.143798,0.027482,0.017839
0.990111,0.038556,0.0,0.0637,0.015504
0.990111,0.047778,12.928785,0.029413,0.008358
0.990111,0.048778,0.0,0.033919,0.009877
0.990333,0.028556,14.894101,0.049751,0.009573
0.99,0.027333,7.350807,0.067761,0.012437
0.990111,0.049222,0.0,0.02896,0.017782
0.99,0.003778,42.645375,0.036824,0.006801
0.990111,0.029556,0.0,0.12935,0.035919
0.990111,0.039667,14.894101,0.029084,0.016373
0.99,0.025778,13.994995,0.038476,0.014735
0.989889,0.025,20.79529,0.029278,0.007125
0.990111,0.038556,12.142908,0.038313,0.007121
0.990111,0.017444,26.872166,0.027641,0.013703
0.990111,0.040444,4.762685,0.040712,0.010636
0.990111,0.039778,5.135286,0.036641,0.017262
0.990333,0.020556,17.125717,0.047593,0.003334
0.980111,0.002,0.0,0.019005,0.007783
0.981222,0.035778,0.0,0.008949,0.017819
0.990556,0.076778,0.0,0.00982,0.033914
0.989778,0.005,33.661546,0.118947,0.015433
0.990111,0.049778,13.994995,0.019127,0.015707
0.980333,0.029889,8.209462,0.009126,0.022484
0.99,0.007444,53.557544,0.029825,0.01322
0.990222,0.056222,0.0,0.019505,0.019669
0.974111,0.002667,0.0,0.008372,0.012514
0.99,0.016,16.211027,0.091533,0.010846
0.990444,0.029111,17.125717,0.039445,0.003512
0.990222,0.056222,0.0,0.0285,0.007615
0.990333,0.018111,17.358491,0.078591,0.012705
0.998111,0.212,67.004808,0.070402,0.027129
0.985111,0.000667,0.0,0.029203,0.009062
0.982222,0.038111,0.0,0.009946,0.019333
0.995111,0.215778,0.0,0.006457,0.09956
0.993444,0.006556,65.283623,0.055203,0.00068
0.974111,0.002667,0.0,0.008372,0.012514
0.995889,0.247444,19.228748,0.100558,0.018146
0.996222,0.040778,89.95615,0.050122,0.015692
0.989111,0.016667,4.434625,0.175545,0.058189
0.994111,0.107111,15.64058,0.108557,0.129525
