REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.95,0.111111,102.583967,0.05649,0.718347
0.95,0.088889,102.583967,0.089404,0.158676
0.96,0.133333,84.028082,0.075559,0.415692
0.95,0.155556,69.293978,0.0489,0.502732
0.95,0.088889,71.61196,0.110638,0.278471
0.94,0.088889,113.901824,0.070225,0.288394
0.94,0.111111,96.746296,0.070274,0.675987
0.96,0.133333,0.0,0.161189,0.359284
0.95,0.133333,69.293978,0.068678,0.345196
0.955,0.155556,0.0,0.078555,0.217752
0.95,0.088889,71.61196,0.137308,0.229462
0.955,0.088889,41.148431,0.185104,0.156386
0.955,0.155556,0.0,0.074967,0.430709
0.95,0.022222,177.699881,0.089257,0.148276
0.96,0.088889,0.0,0.245501,0.456087
0.96,0.111111,71.61196,0.078015,0.42612
0.95,0.088889,71.61196,0.107469,0.15409
0.95,0.088889,102.583967,0.06484,0.303914
0.95,0.111111,69.293978,0.08838,0.14933
0.945,0.066667,110.712919,0.082488,0.735318
0.945,0.111111,0.0,0.103761,0.163885
0.945,0.111111,0.0,0.099991,0.164523
0.95,0.066667,89.580657,0.112717,0.115632
0.925,0.0,0.0,0.056573,0.545822
0.935,0.111111,0.0,0.025854,0.531527
0.96,0.266667,0.0,0.030597,0.503141
0.945,0.022222,157.638558,0.248853,0.175719
0.95,0.155556,71.61196,0.054366,0.507012
0.92,0.088889,0.0,0.02913,0.641989
0.95,0.022222,208.335701,0.07581,0.303516
0.96,0.177778,0.0,0.050136,0.430152
0.905,0.0,0.0,0.027972,0.686979
0.93,0.044444,84.028082,0.217332,0.151784
0.93,0.088889,89.580657,0.09508,0.116793
0.96,0.177778,0.0,0.059536,0.206309
0.935,0.066667,84.028082,0.203556,0.156591
0.975,0.622222,211.877936,0.110102,0.21266
0.935,0.0,0.0,0.072106,0.19226
0.93,0.111111,0.0,0.02978,0.598655
0.97,0.511111,0.0,0.023277,0.516923
0.95,0.022222,239.029658,0.103086,0.039129
0.905,0.0,0.0,0.027972,0.686979
0.965,0.555556,85.847376,0.0974,0.201907
0.97,0.133333,246.972196,0.095181,0.356267
0.955,0.066667,0.0,0.270937,0.388138
0.97,0.333333,67.148508,0.233671,0.639609
