Watertown,Dryville,Fallsland,Regional
0.52,0.735,0.53,0.505
0.66,0.73,0.7,0.64
0.64,0.705,0.66,0.625
0.685,0.895,0.7,0.645
0.735,0.925,0.57,0.57
0.785,0.9,0.75,0.74
0.665,0.79,0.675,0.64
0.81,0.94,0.75,0.745
0.765,0.895,0.7,0.695
0.62,0.715,0.7,0.62
0.705,0.75,0.69,0.66
0.64,0.88,0.655,0.625
0.685,0.93,0.705,0.66
0.765,0.945,0.71,0.705
0.685,0.685,0.63,0.62
0.675,0.775,0.665,0.64
0.63,0.505,0.37,0.37
0.725,0.875,0.7,0.68
0.655,0.735,0.71,0.64
0.615,0.735,0.66,0.615
0.75,0.875,0.705,0.69
0.72,0.925,0.585,0.585
0.695,0.885,0.7,0.655
0.665,0.805,0.675,0.64
0.825,0.775,0.605,0.605
0.65,0.89,0.655,0.635
0.685,0.93,0.71,0.655
0.82,0.925,0.675,0.675
0.655,0.915,0.635,0.62
0.54,0.37,0.37,0.365
0.745,0.94,0.675,0.655
0.75,0.915,0.7,0.685
0.595,0.7,0.66,0.595
0.79,0.88,0.63,0.63
0.64,0.535,0.42,0.42
0.705,0.7,0.66,0.635
0.65,0.6,0.545,0.545
0.795,0.91,0.71,0.705
0.805,0.675,0.63,0.63
0.755,0.545,0.49,0.48
0.66,0.76,0.705,0.64
0.685,0.37,0.37,0.365
0.535,0.37,0.53,0.37
0.825,0.7,0.595,0.595
0.69,0.595,0.565,0.565
0.54,0.37,0.49,0.37
0.68,0.94,0.53,0.53
0.615,0.75,0.66,0.615
0.66,0.89,0.65,0.63
0.805,0.885,0.635,0.635
0.66,0.37,0.52,0.37
0.69,0.875,0.7,0.65
0.6,0.43,0.42,0.42
0.775,0.84,0.705,0.7
0.825,0.37,0.605,0.37
0.76,0.94,0.68,0.665
0.65,0.735,0.675,0.635
0.82,0.785,0.595,0.595
0.655,0.7,0.66,0.63
0.825,0.93,0.555,0.555
0.715,0.37,0.37,0.365
0.76,0.89,0.705,0.695
0.815,0.645,0.64,0.635
0.715,0.595,0.545,0.545
0.715,0.94,0.685,0.665
0.61,0.545,0.545,0.545
0.63,0.43,0.6,0.43
0.825,0.78,0.6,0.6
0.745,0.43,0.53,0.43
0.705,0.57,0.545,0.545
0.69,0.9,0.695,0.65
0.75,0.775,0.595,0.595
0.54,0.37,0.37,0.365
0.67,0.43,0.495,0.43
0.675,0.945,0.705,0.645
0.825,0.545,0.545,0.545
0.765,0.885,0.66,0.655
0.685,0.875,0.545,0.545
0.685,0.975,0.68,0.65
0.68,0.945,0.705,0.645
0.765,0.785,0.605,0.605
0.705,0.595,0.6,0.595
0.695,0.775,0.71,0.66
0.705,0.945,0.705,0.665
0.535,0.5,0.605,0.495
0.72,0.89,0.7,0.675
0.815,0.945,0.735,0.735
0.705,0.54,0.42,0.42
0.815,0.735,0.655,0.655
0.82,0.915,0.555,0.555
0.54,0.37,0.495,0.37
0.635,0.37,0.37,0.365
0.8,0.945,0.745,0.74
0.705,0.37,0.495,0.37
0.685,0.37,0.495,0.37
0.755,0.525,0.49,0.485
0.685,0.565,0.545,0.545
0.745,0.6,0.53,0.53
0.61,0.6,0.495,0.495
0.735,0.6,0.545,0.545
0.6,0.505,0.42,0.42
0.76,0.96,0.7,0.695
0.69,0.76,0.69,0.655
0.705,0.945,0.68,0.66
0.675,0.945,0.725,0.65
0.64,0.535,0.545,0.535
0.54,0.37,0.37,0.365
0.695,0.57,0.545,0.545
0.775,0.94,0.71,0.705
0.66,0.605,0.545,0.545
0.66,0.37,0.37,0.365
0.685,0.685,0.63,0.62
0.675,0.785,0.67,0.645
0.8,0.88,0.68,0.675
0.625,0.795,0.66,0.62
0.61,0.37,0.495,0.37
0.725,0.685,0.645,0.64
0.535,0.37,0.495,0.37
0.77,0.91,0.59,0.59
0.625,0.71,0.37,0.37
0.6,0.37,0.42,0.37
0.78,0.875,0.695,0.69
0.68,0.94,0.705,0.645
0.825,0.57,0.605,0.57
0.61,0.535,0.495,0.495
0.61,0.37,0.37,0.365
0.825,0.715,0.655,0.655
0.655,0.705,0.68,0.635
0.685,0.565,0.545,0.545
0.82,0.81,0.74,0.735
0.555,0.645,0.37,0.37
0.75,0.865,0.7,0.695
0.72,0.905,0.555,0.555
0.685,0.37,0.495,0.37
0.825,0.91,0.555,0.555
0.705,0.84,0.695,0.655
0.66,0.66,0.605,0.605
0.685,0.95,0.705,0.645
0.76,0.93,0.61,0.61
0.625,0.6,0.595,0.59
0.67,0.595,0.545,0.545
0.69,0.81,0.635,0.615
0.755,0.86,0.585,0.58
0.68,0.88,0.54,0.54
0.765,0.88,0.52,0.52
0.65,0.94,0.38,0.38
0.53,0.615,0.37,0.37
0.63,0.7,0.66,0.62
0.67,0.93,0.705,0.645
0.81,0.91,0.705,0.705
0.785,0.945,0.74,0.735
0.815,0.9,0.735,0.735
0.67,0.91,0.595,0.595
0.74,0.575,0.6,0.575
0.775,0.91,0.745,0.74
0.61,0.565,0.565,0.56
0.54,0.595,0.6,0.54
0.81,0.95,0.71,0.705
0.68,0.765,0.71,0.65
0.79,0.9,0.735,0.73
0.53,0.595,0.6,0.53
0.63,0.575,0.545,0.545
0.54,0.37,0.37,0.365
0.82,0.705,0.64,0.64
0.645,0.595,0.545,0.545
0.685,0.37,0.595,0.37
0.685,0.905,0.715,0.655
0.69,0.7,0.66,0.635
0.65,0.645,0.605,0.605
0.69,0.915,0.735,0.675
0.67,0.785,0.675,0.64
0.66,0.925,0.615,0.605
0.815,0.905,0.74,0.74
0.665,0.685,0.615,0.61
0.695,0.765,0.685,0.655
0.79,0.905,0.68,0.675
0.825,0.785,0.7,0.7
0.65,0.635,0.6,0.6
