Watertown,Dryville,Fallsland,Regional
0.67,0.75,0.715,0.65
0.815,0.84,0.695,0.69
0.66,0.765,0.7,0.64
0.66,0.73,0.695,0.64
0.745,0.745,0.72,0.69
0.815,0.945,0.7,0.7
0.725,0.865,0.685,0.655
0.665,0.755,0.675,0.64
0.66,0.74,0.71,0.64
0.66,0.745,0.66,0.635
0.725,0.745,0.72,0.675
0.745,0.75,0.71,0.685
0.66,0.745,0.71,0.64
0.81,0.905,0.71,0.705
0.68,0.625,0.72,0.615
0.66,0.745,0.7,0.64
0.765,0.755,0.71,0.69
0.745,0.875,0.7,0.675
0.66,0.755,0.71,0.64
0.805,0.76,0.685,0.68
0.67,0.76,0.675,0.64
0.67,0.755,0.675,0.64
0.81,0.745,0.695,0.685
0.695,0.745,0.665,0.64
0.68,0.76,0.71,0.65
0.64,0.66,0.68,0.63
0.8,0.72,0.705,0.68
0.7,0.73,0.705,0.655
0.685,0.745,0.66,0.635
0.81,0.945,0.7,0.695
0.66,0.73,0.66,0.635
0.71,0.7,0.66,0.64
0.815,0.78,0.68,0.675
0.815,0.835,0.68,0.675
0.66,0.73,0.715,0.645
0.81,0.69,0.695,0.68
0.54,0.37,0.42,0.37
0.675,0.78,0.665,0.64
0.685,0.76,0.675,0.645
0.6,0.43,0.565,0.43
0.825,0.94,0.74,0.74
0.71,0.7,0.66,0.64
0.6,0.37,0.6,0.37
0.675,0.795,0.705,0.65
0.7,0.47,0.705,0.47
0.625,0.58,0.6,0.575
