Watertown,Dryville,Fallsland,Regional
0.48,0.445,0.46,0.425
0.545,0.45,0.47,0.45
0.505,0.545,0.555,0.505
0.605,0.58,0.57,0.545
0.675,0.705,0.52,0.515
0.61,0.6,0.62,0.555
0.58,0.555,0.555,0.54
0.63,0.635,0.625,0.575
0.605,0.555,0.57,0.545
0.59,0.59,0.555,0.545
0.615,0.55,0.57,0.55
0.51,0.545,0.555,0.505
0.62,0.705,0.58,0.555
0.595,0.605,0.575,0.545
0.64,0.45,0.575,0.45
0.585,0.575,0.555,0.55
0.61,0.415,0.42,0.375
0.605,0.55,0.575,0.545
0.53,0.455,0.555,0.455
0.495,0.535,0.555,0.495
0.615,0.55,0.575,0.545
0.665,0.74,0.54,0.54
0.605,0.57,0.565,0.545
0.575,0.6,0.555,0.545
0.65,0.615,0.56,0.555
0.54,0.575,0.555,0.53
0.61,0.555,0.575,0.555
0.625,0.605,0.575,0.53
0.53,0.6,0.55,0.52
0.495,0.4,0.405,0.36
0.645,0.65,0.58,0.55
0.615,0.705,0.575,0.545
0.475,0.545,0.555,0.475
0.615,0.565,0.55,0.54
0.625,0.39,0.43,0.37
0.62,0.545,0.555,0.545
0.61,0.425,0.49,0.42
0.615,0.625,0.575,0.545
0.625,0.605,0.575,0.57
0.64,0.49,0.465,0.4
0.625,0.48,0.56,0.465
0.655,0.4,0.4,0.36
0.49,0.37,0.47,0.365
0.655,0.525,0.555,0.505
0.64,0.545,0.53,0.52
0.49,0.4,0.445,0.355
0.63,0.7,0.445,0.445
0.495,0.545,0.555,0.495
0.555,0.57,0.555,0.53
0.605,0.565,0.55,0.54
0.635,0.42,0.47,0.38
0.605,0.55,0.575,0.545
0.565,0.365,0.435,0.355
0.585,0.51,0.49,0.485
0.64,0.42,0.56,0.42
0.62,0.685,0.56,0.55
0.53,0.545,0.555,0.52
0.67,0.665,0.555,0.545
0.515,0.525,0.49,0.48
0.64,0.635,0.515,0.5
0.685,0.405,0.405,0.36
0.585,0.62,0.555,0.545
0.63,0.6,0.58,0.57
0.675,0.55,0.49,0.485
0.585,0.605,0.56,0.54
0.595,0.4,0.485,0.395
0.61,0.365,0.56,0.365
0.65,0.62,0.56,0.55
0.63,0.42,0.465,0.4
0.655,0.53,0.485,0.475
0.605,0.59,0.58,0.53
0.675,0.615,0.555,0.55
0.5,0.395,0.405,0.36
0.615,0.365,0.44,0.355
0.59,0.64,0.58,0.56
0.67,0.455,0.49,0.44
0.62,0.555,0.555,0.545
0.645,0.72,0.455,0.455
0.53,0.71,0.555,0.52
0.595,0.67,0.585,0.555
0.65,0.59,0.555,0.51
0.63,0.445,0.56,0.435
0.605,0.57,0.575,0.555
0.61,0.605,0.57,0.56
0.49,0.395,0.56,0.395
0.605,0.585,0.57,0.545
0.63,0.71,0.59,0.555
0.68,0.455,0.425,0.375
0.615,0.595,0.58,0.57
0.64,0.625,0.515,0.495
0.495,0.37,0.455,0.36
0.585,0.365,0.41,0.34
0.635,0.65,0.59,0.56
0.645,0.4,0.44,0.375
0.62,0.375,0.455,0.355
0.645,0.485,0.465,0.4
0.66,0.46,0.485,0.445
0.675,0.575,0.46,0.46
0.6,0.505,0.44,0.44
0.685,0.43,0.49,0.425
0.575,0.39,0.43,0.37
0.595,0.64,0.57,0.56
0.61,0.61,0.57,0.565
0.545,0.625,0.555,0.53
0.595,0.585,0.59,0.565
0.615,0.385,0.47,0.385
0.5,0.395,0.405,0.36
0.655,0.53,0.49,0.485
0.61,0.625,0.585,0.555
0.615,0.59,0.49,0.485
0.62,0.405,0.405,0.36
0.635,0.61,0.575,0.575
0.585,0.6,0.555,0.55
0.62,0.55,0.555,0.545
0.495,0.56,0.555,0.495
0.585,0.365,0.455,0.355
0.605,0.51,0.49,0.485
0.485,0.365,0.455,0.355
0.64,0.64,0.545,0.535
0.61,0.51,0.405,0.375
0.55,0.365,0.42,0.345
0.61,0.55,0.565,0.545
0.595,0.62,0.575,0.56
0.65,0.565,0.56,0.54
0.615,0.465,0.46,0.415
0.595,0.38,0.405,0.34
0.64,0.61,0.585,0.57
0.525,0.545,0.555,0.515
0.665,0.46,0.485,0.445
0.635,0.49,0.47,0.45
0.53,0.44,0.41,0.39
0.59,0.61,0.555,0.55
0.68,0.615,0.52,0.495
0.64,0.37,0.455,0.36
0.655,0.615,0.515,0.49
0.675,0.455,0.495,0.455
0.615,0.45,0.45,0.435
0.595,0.675,0.585,0.555
0.64,0.585,0.535,0.505
0.605,0.435,0.445,0.42
0.65,0.505,0.49,0.475
0.64,0.69,0.515,0.51
0.625,0.59,0.425,0.42
0.625,0.73,0.455,0.455
0.63,0.605,0.385,0.385
0.625,0.705,0.41,0.41
0.485,0.5,0.39,0.39
0.495,0.545,0.555,0.495
0.58,0.505,0.505,0.495
0.62,0.68,0.575,0.54
0.615,0.6,0.6,0.55
0.615,0.6,0.545,0.525
0.62,0.725,0.56,0.56
0.69,0.445,0.56,0.435
0.605,0.68,0.555,0.54
0.59,0.54,0.53,0.52
0.49,0.55,0.555,0.49
0.645,0.75,0.555,0.54
0.58,0.555,0.58,0.54
0.61,0.665,0.59,0.54
0.495,0.54,0.555,0.495
0.62,0.45,0.49,0.415
0.49,0.395,0.405,0.36
0.645,0.61,0.58,0.57
0.63,0.55,0.49,0.485
0.665,0.415,0.56,0.415
0.59,0.605,0.585,0.54
0.595,0.535,0.555,0.535
0.615,0.53,0.555,0.53
0.61,0.525,0.49,0.49
0.585,0.595,0.555,0.55
0.61,0.68,0.58,0.555
0.625,0.63,0.57,0.53
0.62,0.605,0.575,0.57
0.62,0.555,0.575,0.555
0.615,0.62,0.55,0.545
0.655,0.5,0.55,0.47
0.63,0.57,0.56,0.55
0.485,0.475,0.47,0.455
0.62,0.565,0.49,0.485
0.645,0.665,0.59,0.545
0.62,0.555,0.555,0.55
0.61,0.545,0.47,0.47
0.62,0.6,0.575,0.57
0.635,0.765,0.565,0.555
0.685,0.54,0.56,0.53
0.66,0.55,0.555,0.52
0.62,0.605,0.575,0.57
0.625,0.59,0.505,0.48
0.66,0.665,0.555,0.545
0.595,0.45,0.475,0.45
0.62,0.56,0.555,0.545
0.635,0.635,0.55,0.525
0.49,0.43,0.405,0.385
0.65,0.72,0.62,0.595
0.635,0.665,0.585,0.535
0.64,0.65,0.565,0.535
0.615,0.535,0.505,0.495
0.64,0.66,0.57,0.545
0.63,0.605,0.56,0.56
0.495,0.385,0.41,0.36
0.645,0.435,0.47,0.415
0.615,0.555,0.565,0.545
0.5,0.395,0.405,0.36
0.615,0.66,0.555,0.535
0.62,0.5,0.51,0.485
0.495,0.555,0.435,0.435
0.63,0.655,0.54,0.515
0.665,0.42,0.47,0.375
0.635,0.655,0.595,0.545
0.625,0.66,0.575,0.545
0.62,0.605,0.575,0.545
0.53,0.545,0.555,0.52
0.63,0.625,0.545,0.525
0.65,0.445,0.55,0.445
0.59,0.54,0.53,0.52
0.67,0.685,0.485,0.485
0.56,0.56,0.555,0.535
0.635,0.41,0.49,0.41
0.585,0.605,0.575,0.56
0.615,0.61,0.58,0.575
0.66,0.7,0.475,0.475
0.62,0.545,0.475,0.475
0.595,0.625,0.48,0.48
0.64,0.69,0.555,0.55
0.605,0.64,0.59,0.535
0.625,0.64,0.615,0.58
0.615,0.595,0.545,0.545
0.585,0.45,0.445,0.43
0.68,0.405,0.47,0.38
0.595,0.595,0.595,0.565
0.555,0.565,0.565,0.53
0.645,0.685,0.59,0.535
0.57,0.56,0.525,0.52
0.615,0.68,0.55,0.54
0.61,0.53,0.545,0.525
0.665,0.565,0.485,0.485
0.63,0.61,0.58,0.575
0.635,0.625,0.585,0.53
0.64,0.4,0.47,0.395
0.615,0.565,0.56,0.555
0.63,0.62,0.58,0.57
0.56,0.52,0.555,0.515
0.605,0.675,0.58,0.565
0.65,0.64,0.555,0.535
0.615,0.54,0.53,0.52
0.645,0.755,0.57,0.555
0.61,0.535,0.53,0.51
0.64,0.61,0.575,0.57
0.615,0.625,0.58,0.55
0.6,0.46,0.475,0.425
0.655,0.61,0.58,0.575
0.63,0.55,0.515,0.51
0.605,0.45,0.44,0.37
0.495,0.54,0.56,0.495
0.655,0.465,0.56,0.465
0.67,0.495,0.455,0.4
0.57,0.55,0.555,0.525
0.6,0.675,0.565,0.54
0.69,0.475,0.455,0.395
0.645,0.645,0.575,0.555
0.62,0.62,0.59,0.545
0.63,0.63,0.59,0.545
0.655,0.685,0.49,0.485
0.635,0.63,0.59,0.545
0.615,0.555,0.57,0.55
0.61,0.63,0.63,0.57
0.645,0.56,0.47,0.47
0.615,0.74,0.57,0.555
0.655,0.655,0.565,0.535
0.63,0.475,0.565,0.475
0.645,0.63,0.56,0.56
0.61,0.715,0.63,0.585
0.63,0.44,0.56,0.44
0.615,0.465,0.56,0.465
0.625,0.43,0.56,0.43
0.645,0.62,0.56,0.56
0.625,0.68,0.555,0.54
0.66,0.62,0.56,0.56
0.67,0.47,0.47,0.4
0.5,0.395,0.405,0.36
0.48,0.44,0.46,0.435
0.495,0.395,0.405,0.36
0.505,0.55,0.555,0.505
0.505,0.55,0.555,0.505
0.515,0.52,0.405,0.405
0.505,0.545,0.555,0.505
0.625,0.495,0.465,0.415
0.495,0.545,0.555,0.495
0.61,0.625,0.575,0.57
0.59,0.655,0.605,0.545
0.595,0.545,0.555,0.54
0.495,0.395,0.405,0.36
0.645,0.42,0.49,0.42
0.49,0.545,0.405,0.405
0.675,0.465,0.475,0.425
0.555,0.49,0.465,0.465
0.68,0.6,0.58,0.58
0.625,0.45,0.46,0.43
0.64,0.555,0.56,0.545
0.655,0.505,0.56,0.46
0.685,0.415,0.4,0.36
0.49,0.545,0.405,0.405
0.62,0.535,0.585,0.525
0.6,0.575,0.58,0.55
0.64,0.615,0.58,0.575
0.62,0.635,0.47,0.47
0.505,0.545,0.555,0.505
0.635,0.61,0.57,0.57
0.61,0.605,0.575,0.545
0.605,0.6,0.575,0.57
0.505,0.545,0.555,0.505
0.495,0.555,0.555,0.495
0.59,0.45,0.47,0.45
0.64,0.45,0.525,0.445
0.59,0.635,0.58,0.545
0.665,0.47,0.56,0.47
0.67,0.47,0.47,0.395
0.68,0.695,0.555,0.555
0.6,0.395,0.465,0.38
0.585,0.66,0.57,0.535
0.64,0.435,0.47,0.42
0.605,0.41,0.485,0.41
0.615,0.61,0.555,0.545
0.615,0.605,0.575,0.55
0.61,0.62,0.565,0.53
0.675,0.665,0.555,0.545
0.615,0.435,0.435,0.4
0.63,0.545,0.44,0.425
0.525,0.555,0.555,0.515
0.63,0.52,0.575,0.495
0.625,0.45,0.46,0.43
0.6,0.465,0.47,0.42
0.65,0.555,0.475,0.475
0.66,0.67,0.555,0.545
0.6,0.485,0.455,0.4
0.615,0.55,0.57,0.545
0.63,0.655,0.56,0.54
0.63,0.445,0.405,0.355
0.605,0.495,0.58,0.495
0.625,0.5,0.47,0.42
0.61,0.595,0.565,0.545
0.66,0.585,0.515,0.495
0.605,0.555,0.505,0.505
0.62,0.465,0.58,0.465
0.67,0.535,0.56,0.48
0.645,0.535,0.545,0.47
0.645,0.56,0.475,0.475
0.67,0.685,0.435,0.435
0.67,0.71,0.49,0.485
0.65,0.56,0.525,0.52
0.49,0.36,0.41,0.335
0.67,0.57,0.56,0.55
0.5,0.37,0.455,0.36
0.59,0.545,0.47,0.47
0.625,0.46,0.545,0.46
0.595,0.455,0.47,0.415
0.61,0.635,0.565,0.545
0.61,0.615,0.585,0.575
0.615,0.545,0.56,0.535
0.65,0.655,0.56,0.555
0.615,0.605,0.56,0.545
0.61,0.615,0.575,0.545
0.605,0.715,0.565,0.555
0.645,0.615,0.58,0.575
0.635,0.45,0.55,0.45
0.6,0.61,0.49,0.49
0.62,0.67,0.545,0.54
0.635,0.45,0.57,0.45
0.595,0.45,0.455,0.435
0.67,0.675,0.555,0.545
0.61,0.62,0.565,0.545
0.555,0.515,0.555,0.51
0.485,0.48,0.555,0.46
0.63,0.45,0.44,0.425
0.595,0.645,0.6,0.55
0.585,0.555,0.555,0.535
0.625,0.68,0.615,0.58
0.525,0.545,0.555,0.515
0.605,0.605,0.61,0.55
0.62,0.57,0.56,0.56
0.49,0.385,0.41,0.35
0.585,0.595,0.555,0.55
0.585,0.45,0.45,0.435
0.585,0.6,0.555,0.55
0.535,0.67,0.57,0.52
0.6,0.45,0.41,0.37
0.625,0.495,0.57,0.48
0.63,0.57,0.595,0.555
0.66,0.635,0.45,0.45
0.62,0.56,0.55,0.545
0.615,0.565,0.555,0.555
0.61,0.63,0.595,0.545
0.62,0.57,0.565,0.56
0.66,0.655,0.485,0.485
0.605,0.615,0.56,0.55
0.485,0.43,0.47,0.42
0.62,0.67,0.56,0.55
0.505,0.555,0.555,0.505
0.57,0.55,0.57,0.535
0.64,0.625,0.605,0.555
0.665,0.76,0.59,0.57
0.58,0.75,0.59,0.555
0.495,0.545,0.555,0.495
0.66,0.54,0.49,0.48
0.535,0.565,0.555,0.52
0.625,0.43,0.52,0.42
0.56,0.755,0.575,0.53
0.61,0.415,0.43,0.39
0.605,0.505,0.47,0.47
0.66,0.69,0.565,0.555
0.5,0.59,0.4,0.4
0.6,0.5,0.49,0.485
0.565,0.745,0.565,0.54
0.615,0.59,0.575,0.555
0.59,0.6,0.58,0.55
0.615,0.555,0.555,0.55
0.63,0.66,0.565,0.535
0.585,0.595,0.46,0.46
0.61,0.595,0.575,0.545
0.57,0.565,0.555,0.545
0.62,0.63,0.585,0.53
0.6,0.605,0.575,0.545
0.62,0.45,0.44,0.42
0.575,0.635,0.59,0.535
0.545,0.56,0.555,0.525
0.625,0.565,0.555,0.555
0.585,0.59,0.555,0.55
0.63,0.675,0.565,0.555
0.68,0.415,0.47,0.38
0.605,0.39,0.47,0.385
0.63,0.575,0.55,0.545
0.63,0.67,0.56,0.55
0.645,0.545,0.465,0.465
0.66,0.69,0.555,0.55
0.64,0.735,0.615,0.6
0.555,0.515,0.49,0.485
0.545,0.455,0.49,0.43
0.6,0.61,0.62,0.555
0.5,0.51,0.47,0.46
0.595,0.645,0.615,0.55
0.605,0.585,0.6,0.55
0.6,0.445,0.455,0.405
0.665,0.545,0.405,0.39
0.655,0.485,0.555,0.445
0.62,0.57,0.56,0.545
0.61,0.635,0.58,0.535
0.6,0.64,0.58,0.53
