Watertown,Dryville,Fallsland,Regional
0.62,0.515,0.545,0.51
0.63,0.62,0.575,0.57
0.61,0.62,0.575,0.57
0.615,0.53,0.52,0.515
0.61,0.615,0.565,0.565
0.62,0.57,0.575,0.555
0.62,0.585,0.56,0.555
0.61,0.615,0.565,0.565
0.61,0.605,0.565,0.565
0.61,0.625,0.575,0.57
0.63,0.615,0.585,0.57
0.605,0.62,0.58,0.57
0.605,0.61,0.565,0.56
0.625,0.54,0.555,0.53
0.615,0.51,0.55,0.495
0.605,0.58,0.565,0.55
0.615,0.62,0.57,0.56
0.61,0.595,0.575,0.565
0.615,0.62,0.575,0.57
0.62,0.55,0.565,0.54
0.615,0.615,0.555,0.555
0.61,0.62,0.555,0.555
0.635,0.625,0.58,0.57
0.62,0.55,0.555,0.545
0.585,0.54,0.49,0.49
0.6,0.535,0.47,0.47
0.615,0.54,0.555,0.52
0.625,0.59,0.545,0.54
0.63,0.525,0.515,0.51
0.635,0.515,0.525,0.495
0.615,0.605,0.56,0.56
0.62,0.545,0.505,0.505
0.62,0.605,0.555,0.55
0.64,0.62,0.555,0.555
0.62,0.61,0.565,0.565
0.6,0.595,0.565,0.555
0.505,0.425,0.44,0.375
0.6,0.6,0.555,0.555
0.625,0.535,0.515,0.51
0.555,0.42,0.445,0.395
0.625,0.514,0.515,0.514
0.62,0.545,0.505,0.505
0.555,0.395,0.565,0.395
0.66,0.525,0.49,0.44
0.605,0.485,0.565,0.48
0.615,0.455,0.555,0.455
