REL_W,RF_W,INPC_W,PFC_W,WCC_W,REL_D,RF_D,INPC_D,PFC_D,WCC_D,REL_F,RF_F,INPC_F,PFC_F,WCC_F,REL_R,RF_R,INPC_R,PFC_R,WCC_R
199,250,0,163,0,225,126,0,0,78,303,250,0,0,447,225,250,0,163,447
0,109,0,500,0,209,217,0,0,160,30,10,0,0,500,209,217,0,486,500
0,250,0,181,20,171,0,0,0,387,0,108,0,0,474,171,0,0,105,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,174,250,250,442,193,0,352,258,242,100,251,313,51,478,208,251,250,258,500
259,150,214,214,0,162,0,361,246,0,417,317,77,52,480,421,317,291,266,480
0,0,0,416,0,137,0,215,183,423,474,250,0,0,278,245,250,215,416,451
209,0,183,250,250,227,0,265,250,62,419,194,239,107,154,419,194,183,107,206
0,0,250,250,250,250,0,368,249,250,250,105,0,0,500,250,105,368,250,417
406,250,0,249,250,250,89,0,0,168,0,8,0,0,500,250,250,0,249,500
0,0,0,287,293,250,0,0,0,500,225,0,0,0,250,250,0,0,287,500
0,0,0,436,0,286,0,250,168,157,0,1,0,0,341,286,1,250,168,157
58,163,264,177,497,157,0,380,298,202,262,164,391,275,260,262,227,391,177,260
152,386,250,193,250,250,0,380,330,250,250,461,44,0,250,250,461,381,330,500
0,102,250,269,0,416,225,0,0,107,172,191,0,0,9,250,243,250,269,107
250,0,0,299,103,230,0,0,0,500,0,0,0,0,250,230,0,0,299,500
250,231,250,198,0,250,51,376,305,135,248,250,6,0,258,250,250,376,49,390
20,216,250,250,0,274,125,149,226,500,250,0,283,85,4,252,307,272,251,254
0,0,0,299,250,253,250,0,0,152,250,0,0,0,500,253,250,0,299,206
0,0,0,327,0,153,0,228,197,0,197,0,0,0,232,153,0,228,350,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,250,250,239,236,0,254,250,70,360,0,0,0,103,360,0,254,250,146
262,0,0,253,410,250,0,0,0,498,0,0,0,0,277,279,0,0,250,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,140,18,250,0,221,250,260,500,287,210,127,286,500,287,210,250,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,309,306,55,57,69,0,364,250,105,362,250,39,0,250,362,309,395,0,243
71,0,250,250,0,236,3,127,214,74,496,29,0,0,43,500,29,251,250,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2,250,187,100,97,0,245,238,137,457,221,0,0,423,457,221,247,249,423
390,156,0,241,156,306,164,386,199,51,283,250,0,0,250,416,250,386,200,51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,164,250,176,0,219,0,383,250,7,275,250,304,0,132,247,250,409,251,139
233,0,250,250,303,242,0,272,250,0,423,200,148,231,500,423,200,305,299,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,137,250,250,0,218,4,373,250,0,250,103,276,231,192,263,92,286,250,192
243,149,272,245,0,143,4,250,250,41,469,250,0,0,33,469,250,287,250,71
