REL_W,RF_W,INPC_W,PFC_W,WCC_W,REL_D,RF_D,INPC_D,PFC_D,WCC_D,REL_F,RF_F,INPC_F,PFC_F,WCC_F,REL_R,RF_R,INPC_R,PFC_R,WCC_R
95,250,0,220,250,250,326,250,260,381,220,250,0,0,250,250,410,250,384,475
246,201,248,281,252,250,326,183,183,317,348,184,0,0,54,250,394,246,283,252
250,250,0,58,250,250,177,271,307,2,4,250,256,193,250,250,250,271,298,252
250,250,0,193,250,250,125,286,325,172,333,250,250,179,250,250,200,286,256,250
260,143,236,177,231,250,283,258,260,132,215,247,0,0,239,232,338,258,177,285
249,250,230,182,295,250,173,250,257,239,303,77,0,0,76,206,77,250,257,306
231,118,242,213,171,250,218,250,258,222,340,222,250,250,138,243,135,250,256,171
110,250,0,250,236,250,368,0,0,250,250,250,0,0,250,110,298,0,171,296
0,250,0,261,250,250,168,250,286,241,500,250,0,0,250,103,232,250,334,250
153,250,0,264,244,250,243,0,0,250,250,250,0,0,250,198,278,0,264,250
250,188,265,233,209,250,350,233,233,196,234,221,0,0,177,250,354,250,233,339
246,252,233,250,292,250,181,238,313,258,250,249,0,0,250,246,236,248,250,258
199,250,0,273,250,250,203,0,0,250,250,250,0,0,247,198,262,0,273,250
165,469,13,5,353,250,221,250,270,216,109,473,246,248,198,109,486,248,248,353
250,250,0,250,143,248,237,0,0,250,250,250,0,0,250,248,250,0,250,250
258,250,0,90,245,250,154,250,288,103,101,250,0,0,250,250,309,250,90,262
250,123,249,214,259,250,206,252,258,141,243,222,0,0,215,250,239,252,243,259
246,168,241,339,243,250,320,250,250,245,249,250,0,0,247,246,401,250,355,486
197,250,0,130,250,250,136,276,308,82,250,250,0,0,250,250,291,276,237,253
244,227,238,228,200,250,315,250,250,192,242,263,151,318,220,250,438,250,259,246
108,250,0,209,255,249,206,232,231,184,176,250,0,0,250,108,303,232,209,196
101,250,0,224,219,249,220,217,217,223,122,245,0,0,250,101,315,217,224,221
235,136,233,289,470,250,287,250,250,417,254,169,74,238,155,250,325,250,293,425
67,250,0,250,250,250,250,0,0,250,0,250,0,0,247,250,250,0,250,497
342,243,0,145,250,220,250,0,0,250,250,250,0,0,250,220,250,0,145,250
250,250,0,246,250,250,250,0,0,250,183,250,0,0,250,250,250,0,246,250
95,500,1,242,250,250,50,250,250,222,339,67,325,386,0,250,401,205,250,222
200,250,175,156,249,250,242,250,261,233,302,250,0,0,250,193,242,250,276,303
250,250,0,116,250,250,311,200,200,154,500,229,0,0,250,250,341,200,234,179
158,344,181,182,366,225,287,116,196,304,395,140,274,258,218,262,140,274,312,304
257,250,0,418,250,224,250,0,0,250,246,250,0,0,250,224,250,0,418,250
0,250,0,250,0,250,250,125,0,250,250,250,0,0,250,250,250,125,250,250
258,180,267,260,280,250,221,251,271,245,354,205,0,0,250,153,235,258,260,245
250,136,252,255,330,250,155,175,175,490,497,57,0,0,217,247,155,252,255,411
224,250,0,236,250,239,250,225,0,250,250,250,0,0,250,239,250,225,141,250
250,158,234,245,206,250,295,252,255,192,102,198,0,0,152,250,273,252,245,192
63,174,33,38,287,250,93,145,185,137,12,250,191,232,250,63,250,193,232,306
92,0,0,250,0,250,250,0,0,250,0,250,0,0,351,250,250,0,250,0
433,250,0,166,250,250,250,0,0,250,300,250,0,0,250,250,250,0,166,250
250,250,0,332,250,250,250,142,0,250,250,250,0,0,250,250,250,142,332,250
113,330,192,192,427,250,357,132,132,496,339,310,339,356,449,248,329,256,195,500
0,250,0,250,0,250,250,125,0,250,250,250,0,0,250,250,250,125,250,250
250,250,249,247,331,98,0,300,494,0,196,250,0,0,250,98,0,300,494,283
81,403,112,72,428,250,474,108,108,482,251,417,80,2,500,250,465,80,109,500
4,250,0,0,436,250,444,266,400,0,116,250,214,0,274,4,483,266,0,0
244,254,234,244,225,250,129,259,202,248,241,250,235,290,228,244,241,236,244,248
