REL_W,RF_W,INPC_W,PFC_W,WCC_W,REL_D,RF_D,INPC_D,PFC_D,WCC_D,REL_F,RF_F,INPC_F,PFC_F,WCC_F,REL_R,RF_R,INPC_R,PFC_R,WCC_R
0,91,0,494,0,346,0,175,257,0,0,250,0,500,485,0,8,175,258,485
250,0,239,263,495,208,6,216,250,0,0,248,0,500,166,0,254,248,263,0
0,250,0,176,254,0,161,194,283,0,337,73,0,500,258,242,250,194,176,0
0,150,0,471,144,347,147,206,205,82,0,120,271,0,102,0,205,206,478,102
0,151,250,237,286,0,14,331,250,295,13,162,0,500,126,13,14,331,237,348
73,0,250,282,500,239,0,114,256,118,0,0,0,0,188,3,0,206,287,188
198,49,250,337,6,167,16,145,251,0,158,16,34,0,368,158,49,196,337,176
0,250,0,250,308,250,142,0,500,250,0,250,0,0,500,250,250,0,250,500
0,83,0,420,440,255,66,199,250,59,0,250,0,0,381,0,66,199,450,381
0,250,0,251,0,208,88,0,0,77,0,250,0,0,230,208,250,0,251,77
0,41,250,270,250,0,11,323,233,357,0,159,0,500,3,0,52,330,270,387
0,40,250,250,186,234,108,250,500,300,425,450,0,0,67,234,127,250,250,186
0,236,0,240,59,235,32,0,500,34,250,0,0,500,250,286,241,0,240,34
0,0,250,309,500,216,0,339,263,0,140,0,375,254,128,140,0,375,254,128
0,184,0,240,201,0,80,0,0,202,25,0,0,500,84,0,16,0,240,115
0,125,0,215,466,208,0,377,250,28,300,58,0,0,500,300,41,377,215,178
0,0,248,274,289,33,21,335,250,368,13,0,0,500,156,13,21,335,274,303
0,29,235,464,425,284,8,169,263,0,0,9,0,0,275,0,46,169,479,0
0,133,0,166,467,140,13,280,250,227,0,258,0,500,175,0,140,280,166,472
99,0,234,188,500,184,242,338,250,125,0,69,211,44,386,0,69,266,188,386
0,217,0,260,500,150,83,50,139,195,0,154,0,500,283,0,118,50,260,195
0,217,0,240,457,125,68,50,135,102,0,68,0,500,458,0,104,50,240,102
250,22,250,204,500,0,98,250,250,188,110,119,67,500,89,110,232,250,204,416
0,0,0,250,184,250,0,0,500,17,0,0,0,0,498,250,0,0,250,498
77,0,0,119,426,483,0,0,500,68,64,250,0,500,341,483,0,0,119,341
0,151,0,255,151,495,209,0,0,237,0,183,0,0,467,250,151,0,255,467
95,0,250,230,286,0,0,250,250,116,112,0,184,272,177,112,0,184,230,116
0,75,0,431,0,267,44,351,250,58,0,217,0,0,314,0,44,351,425,314
0,200,0,281,273,0,22,200,226,466,0,0,0,500,388,0,203,200,302,388
8,66,325,231,500,137,0,134,218,189,206,135,113,248,491,206,135,113,279,491
0,250,0,400,34,270,166,0,500,83,0,233,0,0,500,270,247,0,400,83
0,109,0,250,500,84,125,0,500,317,0,0,0,500,417,84,0,0,250,417
202,1,250,244,250,250,0,195,250,107,236,0,0,500,253,236,0,250,244,156
233,72,250,247,496,250,84,370,250,54,8,1,0,0,391,8,84,251,247,342
0,250,0,479,203,243,209,0,500,375,179,200,0,500,473,247,209,0,479,473
0,0,228,231,460,13,0,254,254,134,363,0,0,500,305,363,0,254,231,134
224,292,192,65,39,145,49,407,325,109,487,250,377,210,250,487,292,377,226,250
75,0,0,241,500,0,0,0,500,0,0,0,0,0,342,0,0,0,241,342
0,166,0,397,334,250,125,0,0,91,0,0,0,500,242,250,125,0,397,242
425,250,0,222,215,81,250,0,500,175,161,250,0,0,500,250,250,0,222,175
119,8,305,325,500,249,0,131,251,213,0,0,431,427,109,0,0,305,325,222
0,109,0,250,500,84,125,0,500,317,0,0,0,500,417,84,0,0,250,417
250,250,240,231,74,14,2,317,500,234,0,250,0,500,25,0,250,317,500,98
178,120,322,154,0,122,0,312,250,122,0,163,300,250,286,0,171,300,322,286
0,250,0,250,500,212,0,0,0,166,216,0,0,500,492,217,0,0,250,492
250,138,250,201,46,171,42,266,282,133,75,250,198,0,401,238,140,266,201,133
